Title,Geek Rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Age,Type 1,Type 2
Kreta,6.083,6.93,1401,N/A,2005,2.66,2,4,60,60,11,Strategy,N/A
Don't Mess with Cthulhu,6.083,6.87,1541,N/A,2014,1.14,4,6,1,30,10,Party,N/A
Rocketmen,6.083,6.84,1606,N/A,2021,2.55,1,4,30,90,14,Strategy,N/A
MicroMacro: Crime City – All In,6.083,7.94,628,31.91,2022,1.27,1,4,15,45,12,Family,Thematic
Overbooked,6.083,7.03,1306,N/A,2018,1.97,1,4,20,40,8,Family,N/A
Company of Heroes,6.083,8.61,619,N/A,2021,3.03,2,4,60,120,14,Wargames,N/A
Epic Card Game,6.083,6.42,4819,15.95,2015,2.51,2,4,20,40,13,Customizable,N/A
Mountains of Madness,6.082,6.52,3118,31.99,2017,2.06,3,5,60,90,12,Party,N/A
Risk: The Lord of the Rings Trilogy Edition,6.082,6.55,3819,78.95,2003,2.36,2,4,180,180,9,Thematic,N/A
Waggle Dance,6.082,6.97,1307,N/A,2014,2.30,2,4,30,90,10,Strategy,N/A
Bonaparte at Marengo,6.082,7.39,885,N/A,2003,3.19,2,2,120,120,12,Wargames,N/A
Village Rails,6.082,7.34,902,N/A,2022,2.15,2,4,45,45,14,Family,Strategy
Unlock!: Escape Adventures – The Island of Doctor Goorse,6.082,6.67,1936,18.99,2017,2.96,2,6,60,60,10,Thematic,N/A
Zombie Dice,6.082,6.22,18031,13.99,2010,1.10,2,99,10,20,10,Party,N/A
One Night Ultimate Vampire,6.081,6.68,2091,14.08,2016,1.61,3,10,10,10,8,Party,N/A
Zulus on the Ramparts!: The Battle of Rorke's Drift – Second Edition,6.081,7.37,950,N/A,2009,2.12,1,1,25,25,12,Wargames,N/A
Power Grid: The Card Game,6.081,6.7,1906,16.91,2016,2.45,2,6,45,60,12,Strategy,N/A
Monopoly Deal Card Game,6.081,6.29,10842,7.99,2008,1.32,2,5,15,15,8,Family,N/A
Ceylon,6.081,6.99,1305,N/A,2018,2.39,2,4,60,60,10,Strategy,N/A
Cosmic Encounter,6.081,7.22,1046,55.99,1991,2.63,3,6,60,60,N/A,Strategy,Thematic
Key Harvest,6.081,6.72,1799,N/A,2007,3.02,2,4,90,90,10,Strategy,N/A
Shadow Kingdoms of Valeria,6.081,7.71,730,42.70,2021,2.60,1,5,30,75,14,Strategy,N/A
Gang of Four,6.08,6.62,2415,N/A,1990,1.87,3,4,40,40,8,Family,N/A
Sonora,6.08,6.89,1435,29.95,2020,2.19,1,4,30,45,10,N/A,N/A
Boomtown,6.08,6.52,2659,N/A,2004,1.70,3,5,30,30,10,Family,N/A
300: Earth & Water,6.08,7.44,878,29.90,2018,2.27,2,2,40,40,12,Wargames,N/A
My City: Roll & Build,6.08,7.22,1005,19.95,2022,1.45,1,6,30,30,10,N/A,N/A
Lift Off,6.08,7.11,1138,24.99,2018,2.82,2,4,60,120,12,Strategy,N/A
The River,6.08,6.61,2296,38.14,2018,1.97,2,4,30,45,8,Family,N/A
Rumble Nation,6.08,7.41,852,N/A,2017,1.86,2,4,20,40,10,Strategy,N/A
Lost Valley,6.079,6.71,1802,N/A,2004,2.62,3,4,60,60,10,Strategy,Thematic
Basari,6.078,6.75,1690,N/A,1998,1.86,3,4,25,25,10,Family,Strategy
Harvest Dice,6.078,6.64,2137,32.65,2017,1.33,2,4,15,30,8,Family,N/A
TurfMaster,6.078,7.25,1019,N/A,1998,1.96,2,8,75,75,10,Family,Thematic
Zug um Zug: Deutschland,6.077,7.53,831,N/A,2012,1.90,2,5,30,60,8,Family,N/A
Onward to Venus,6.077,6.87,1447,N/A,2014,2.60,2,5,90,120,13,Strategy,N/A
Bohnanza: 25th Anniversary Edition,6.077,7.65,757,N/A,2022,1.53,2,7,45,45,10,N/A,N/A
Muse,6.077,6.62,2251,24.99,2017,1.13,2,12,30,30,10,Party,N/A
Nauticus,6.076,6.92,1349,N/A,2013,2.99,2,4,90,90,12,Strategy,N/A
Isle of Trains,6.076,6.76,1684,N/A,2014,2.02,2,4,45,45,13,Family,Strategy
The Game: Extreme,6.076,6.92,1401,N/A,2016,1.32,1,5,20,30,8,Family,N/A
Doppelkopf,6.076,7.54,835,N/A,1895,2.92,3,6,120,120,7,Family,N/A
Xenon Profiteer,6.075,7.23,978,27.41,2015,2.11,2,4,30,30,10,Strategy,N/A
Funny Friends,6.075,6.51,2624,N/A,2005,2.27,2,6,60,60,16,Thematic,N/A
Guildhall: Job Faire,6.075,7.1,1091,N/A,2013,2.17,2,4,30,45,10,Family,Strategy
Coldwater Crown,6.075,7.26,990,42.89,2017,2.23,1,4,40,90,13,Strategy,N/A
Fun Facts,6.074,7.02,1218,18.99,2022,1.08,4,8,30,30,8,N/A,N/A
O Zoo le Mio,6.073,6.61,2174,N/A,2002,2.01,2,4,45,60,9,Family,N/A
Cave Troll,6.073,6.4,3783,N/A,2002,1.98,2,4,20,60,10,Strategy,Thematic
SOS Titanic,6.072,6.75,1692,N/A,2013,1.63,1,5,30,30,8,Family,N/A
Palazzo,6.072,6.54,2470,N/A,2005,2.06,2,4,60,60,10,Strategy,N/A
Big Boggle,6.072,6.88,1548,N/A,1979,1.51,2,8,10,10,8,Family,N/A
Fossilis,6.072,7.07,1250,N/A,2020,2.28,2,5,45,60,8,Family,N/A
Deckscape: Heist in Venice,6.071,6.68,1835,14.90,2018,1.68,1,6,30,90,12,Thematic,N/A
Planet Apocalypse,6.071,7.96,681,99.95,2020,3.11,1,5,60,90,14,Strategy,Thematic
Second Chance,6.071,6.68,2018,N/A,2019,1.15,1,6,10,15,8,Family,N/A
Perry Rhodan: The Cosmic League,6.07,6.73,1667,76.99,2007,1.96,2,2,30,30,10,Family,Strategy
Successors (Fourth Edition),6.07,8.11,621,99.98,2022,4.00,2,5,300,300,12,Wargames,N/A
Planetarium,6.07,7.0,1302,44.95,2017,2.06,1,4,45,45,10,Strategy,Thematic
Dokmus,6.07,7.02,1207,N/A,2016,2.05,2,4,20,40,10,Abstract,Strategy
Pack & Stack,6.069,6.45,3096,N/A,2008,1.27,3,6,30,45,10,Family,N/A
Kōhaku,6.069,7.66,743,N/A,2020,1.62,1,4,30,45,10,Family,N/A
Exit: The Game – The Enchanted Forest,6.069,7.04,1188,14.95,2020,2.00,1,4,45,90,12,Family,Thematic
Legendary Encounters: The X-Files Deck Building Game,6.068,7.66,759,55.78,2018,2.71,1,5,45,60,14,Thematic,N/A
Warhammer: The Mass Combat Fantasy Roleplaying Game (1st Edition),6.068,6.65,2341,N/A,1983,3.68,2,4,240,240,8,Wargames,N/A
EastFront: The War in Russia 1941-45 – Second Edition,6.068,8.05,604,N/A,2006,3.48,2,2,240,240,12,Wargames,N/A
Skytear,6.068,7.95,977,67.18,2020,3.29,2,4,45,45,13,Strategy,N/A
The Settlers of the Stone Age,6.068,6.57,2385,N/A,2002,2.51,3,4,90,120,10,Family,Strategy
First Contact,6.067,6.96,1281,N/A,2018,2.03,2,7,15,40,12,Party,N/A
"Mr. President: The American Presidency, 2001-2020",6.066,8.57,531,99.95,2023,4.20,1,1,360,600,N/A,Thematic,Wargames
Unlock! Kids: Detective Stories,6.066,7.81,633,N/A,2021,1.64,1,4,20,60,6,Children's,N/A
Prosperity,6.066,6.68,1854,29.99,2013,2.55,2,4,60,60,13,Strategy,N/A
Ghost Blitz 2,6.066,6.75,1881,N/A,2012,1.18,2,8,30,30,8,Family,Party
Smash Up: Big in Japan,6.066,7.46,863,20.72,2017,2.43,2,2,30,45,14,N/A,N/A
Gunkimono,6.065,7.0,1193,N/A,2018,1.86,2,5,45,60,10,Abstract,N/A
Bristol 1350,6.065,6.89,1544,34.98,2021,1.55,1,9,20,40,13,Party,N/A
Dragon's Gold,6.064,6.43,3233,51.89,2001,1.69,3,6,45,45,12,Family,N/A
Point City,6.064,7.35,897,24.66,2023,1.58,1,4,15,30,10,Family,N/A
Hamlet: The Village Building Game,6.064,6.94,1524,N/A,2022,2.92,1,4,25,100,14,N/A,N/A
Tikal II: The Lost Temple,6.064,6.86,1391,N/A,2010,2.62,2,4,60,120,12,Family,Strategy
Oh Hell!,6.063,6.84,1465,N/A,1930,1.72,3,7,30,30,10,Family,N/A
Fiesta de los Muertos,6.063,7.1,1115,N/A,2019,1.08,4,8,15,15,12,Party,N/A
Shogun no Katana,6.063,7.93,676,N/A,2023,3.65,1,4,60,180,14,Strategy,N/A
Kluster,6.062,6.68,1965,25.00,2018,1.02,1,4,10,20,14,Family,N/A
Tulip Bubble,6.062,7.11,1101,39.86,2015,2.41,3,5,50,70,15,Strategy,N/A
Pantheon,6.062,6.72,1715,64.99,2011,2.76,2,4,60,90,10,Family,Strategy
Evolution: The Beginning,6.062,6.61,2175,N/A,2016,1.81,2,5,30,30,8,Family,N/A
Tac Tac Jack,6.062,6.39,3675,N/A,2008,1.04,2,7,10,10,5,Family,Party
Disney Lorcana,6.061,7.28,1016,N/A,2023,2.06,2,6,N/A,N/A,8,Customizable,N/A
Famiglia,6.061,6.43,3145,N/A,2010,1.76,2,2,30,30,10,Family,Strategy
Chai,6.061,6.8,1704,N/A,2019,1.65,1,5,20,60,8,Family,N/A
Megaland,6.06,6.64,2031,N/A,2018,1.89,2,5,20,20,8,Family,N/A
